cid_10,descritor_cid
V321,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V322,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V323,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V324,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V325,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V326,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V327,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V329,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A M
V33,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, """
V330,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V331,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V332,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V333,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V334,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V335,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V336,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V337,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V339,"OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL, ""PI"
V34,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM VEICULO DE TRAN
V340,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V341,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V342,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V343,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V344,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V345,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V346,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V347,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V349,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRA
V35,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOI
V350,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V351,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V352,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V353,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V354,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V355,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V356,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V357,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V359,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO]
V36,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTRO VEICULO N
V360,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V361,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V362,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V363,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V364,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V365,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V366,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V367,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V369,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MO
V37,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO
V370,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V371,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V372,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V373,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V374,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V375,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V376,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V377,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V379,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU
V38,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSP. SEM
V380,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V381,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V382,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V383,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V384,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V385,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V386,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V387,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V389,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM
V39,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSP.
V390,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NE,"
V391,PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NE
V392,OCUPANTE NE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTROS V
V393,OCUPANTE [QUALQUER] DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE NE
V394,"CONDUTOR TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NE,"
V395,"PASSAGEIRO TRAUMATIZADO EM COLISAO OUTROS VEICULOS E COM VEICULOS NE, A"
V396,OCUPANTE NE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM OUTROS V
V398,OCUPANTE [QUALQUER] DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM OUTROS ACIDENTES D
V399,"OCUPANTE [QUALQUER] DE UM TRICICLO MOTORIZADO, TRAUMATIZADO EM ACIDENTE DE TRANS"
V40,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V400,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V401,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V402,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V403,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V404,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V405,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V406,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V407,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V409,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM A
V41,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM VEICULO A PEDAL
V410,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V411,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V412,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V413,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V414,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V415,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V416,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V417,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V419,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL
V42,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOTOR DE DU
V420,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V421,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V422,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V423,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V424,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V425,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V426,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V427,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V429,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO A MOT
V43,"OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL , ""PICK UP"" OU"
V430,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V431,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V432,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V433,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V434,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V435,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V436,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V437,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V439,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO
V44,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM VEICULO DE TRANSP. PESADO O
V440,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V441,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V442,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V443,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V444,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V445,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V446,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V447,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V449,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANS
V45,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] OU UM VEI
V450,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V451,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V452,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V453,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V454,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V455,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V456,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V457,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V459,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] O
V46,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZAD
V460,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V461,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V462,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V463,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V464,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V465,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V466,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V467,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V469,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO NAO-MOTO
V47,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V470,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V471,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V472,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V473,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V474,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V475,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V476,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V477,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V479,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO
V48,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM UM ACIDENTE DE TRANSP. SEM COLISAO
V480,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V481,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V482,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V483,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V484,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V485,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V486,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V487,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V489,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE SEM C
V49,OCUPANTE DE AUTOMOVEL  TRAUMATIZADO EM OUTRO ACIDENTES DE TRANSP. E EM ACIDENT
V490,CONDUTOR [MOTORISTA] TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS
V491,PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NE
V492,OCUPANTE NE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTROS VEI
V493,OCUPANTE [QUALQUER] DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM UM ACIDENTE NE
V494,CONDUTOR [MOTORISTA] TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS
V495,PASSAGEIRO TRAUMATIZADO EM COLISAO COM OUTROS VEICULOS E COM VEICULOS NE
V496,OCUPANTE NE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTROS VEI
V498,OCUPANTE [QUALQUER] DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM OUTROS ACIDENTES DE
V499,"OCUPANTE [QUALQUER] DE UM AUTOMOVEL [CARRO], TRAUMATIZADO EM UM ACIDENTE DE TRAN"
V50,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIM
V500,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V501,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V502,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V503,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V504,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V505,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V506,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V507,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V509,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL
V51,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM VEICULO A PEDAL
V510,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - CON
V511,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PAS
V512,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PES
V513,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - OCU
V514,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PES
V515,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - CON
V516,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PAS
V517,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - PES
V519,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - OCU
V52,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM VEICULO A MOTOR DE DUA
V520,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V521,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V522,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V523,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V524,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V525,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V526,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V527,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V529,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO A MOTOR DE DU
V53,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL  OU UMA C
V530,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V531,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V532,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V533,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V534,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V535,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V536,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V537,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V539,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU
V54,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM VEICULO DE TRANSP. PES
V540,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V541,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V542,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V543,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V544,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V545,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V546,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
V547,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM VEICULO DE TRANSPORTE
